RBD,NOM_RBD,NOM_COM_RBD,RURAL_RBD,DC_A,HH_A,DC_UTP,HH_UTP,DC_PDIR,HH_PDIR,DC_DIR,HH_DIR,DC_OES,HH_OES,DC_OF,HH_OF,DC_JUTP,HH_JUTP,DC_IG,HH_IG,DC_OR,HH_OR,DC_DIR_SOST,HH_DIR_SOST,DC_TP_SOST,HH_TP_SOST,DC_SUP_SOST,HH_SUP_SOST,DC_SUBDIR,HH_SUBDIR,DC_PROF_ENC,HH_PROF_ENC,DC_EDUC_TRAD,HH_EDUC_TRAD,DC_TOT,HH_TOT
26354,ESCUELA ESP. ALTAZOR DE ESTACION CENTRAL,ESTACIÓN CENTRAL,0,3,101,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,141
26355,ESCUELA DE LENGUAJE MILLARAHUE,HUECHURABA,0,2,88,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,132
26356,ESCUELA ESPECIAL N° 2258 NIÑO JESUS DE LA GR,LA GRANJA,0,2,88,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,132
26357,ESCUELA ESPECIAL UN MUNDO DE PALABRAS,QUILICURA,0,6,264,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,8,352
26358,ESCUELA ESPECIAL CREA,EL MONTE,0,3,132,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,176
26359,ESCUELA ESPECIAL GABRIELA RUBIO,LA CISTERNA,0,5,146,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,190
26360,ESC. PARV. UN RINCON DE ALEGRIA,RENCA,0,1,33,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,73
26361,ESC. ESP. EL PRINCIPITO DE LA FLORIDA,LA FLORIDA,0,12,515,1,44,0,0,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,647
26362,COLEGIO SAN FRANCISCO DE ASIS DE SAN BERNARDO,SAN BERNARDO,0,41,1649,0,0,0,0,1,44,1,44,0,0,1,44,2,88,0,0,0,0,0,0,0,0,1,44,0,0,0,0,47,1913
26364,ESCUELA ESPECIAL N°165 MONTESOL,BUIN,1,4,176,0,0,3,87,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,295
26365,COLEGIO BICENTENARIO SAN ALBERTO HURTADO DE PUDAHUEL,PUDAHUEL,0,106,4480,0,0,4,176,1,44,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,4744
26367,LINCOLN COLLEGE SAN BERNARDO,SAN BERNARDO,0,59,2275,0,0,0,0,1,44,3,128,0,0,3,127,3,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2706
26368,COLEGIO SAN FRANCISCO DE SALES,MAIPÚ,0,29,944,3,132,0,0,1,44,1,35,0,0,1,44,1,44,0,0,0,0,1,44,0,0,1,44,0,0,0,0,38,1331
26370,ESC. ESP. SAN ANTONIO DE LO PRADO,LO PRADO,0,2,88,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,110
26371,COLEGIO DE ADULTOS LOS LIBERTADORES DE MAIPU,MAIPÚ,0,14,353,0,0,0,0,1,35,0,0,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,476
26372,COLEGIO SAN LUCAS DE LO ESPEJO,LO ESPEJO,0,58,2417,0,0,5,211,1,44,11,484,0,0,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,77,3244
26373,ESCUELA DE PARVULOS Y ESPECIAL SANTA TERESA,PUENTE ALTO,0,6,264,0,0,1,40,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,334
26378,ESCUELA PATRONA DE LOURDES,PEÑAFLOR,0,24,871,1,44,2,88,1,44,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1091
26379,COLEGIO SOL DEL VALLE,LAMPA,0,42,1722,1,44,0,0,1,44,0,0,0,0,3,132,1,44,0,0,1,44,0,0,0,0,0,0,0,0,0,0,49,2030
26381,COLEGIO NUEVA ERA SIGLO XXI SEDE PUENTE ALTO,PUENTE ALTO,0,45,1792,0,0,0,0,1,44,5,220,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2144
26382,ESCUELA ESPECIAL SANTA BLANCA,LO BARNECHEA,0,2,66,0,0,0,0,1,44,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,119
26383,COLEGIO INSTITUTO CALERA DE TANGO,CALERA DE TANGO,1,20,876,1,44,1,44,1,44,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1052
26384,COLEGIO TEC. PROF. SAN RAMON LA CISTERNA,LA CISTERNA,0,11,304,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,348
26386,ESCUELA ESP. ANDELEN,PUENTE ALTO,0,2,88,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,108
26388,ESCUELA ESP. SAN CRISTOBAL DE PUENTE ALTO,PUENTE ALTO,0,3,132,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,162
